@RELATION finalTableFALCON

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
1,24,30,9,3,2.25,4,2,3,3,0.75,848,289,212.0,No
1,131,918,287,162,20.5,14,4,115,162,8.214285714285714,251,49,17.928571428571427,No
1,57,604,191,64,15.916666666666666,12,2,80,51,6.666666666666667,96,23,8.0,No
1,68,352,88,87,29.333333333333332,3,1,0,87,0.0,183,95,61.0,No
1,62,156,76,74,25.333333333333332,3,1,74,74,24.666666666666668,73,34,24.333333333333332,No
1,44,98,26,11,6.5,4,2,3,3,0.75,848,289,212.0,No
1,60,298,38,33,7.6,5,2,-73,3,-14.6,893,289,178.6,No
1,39,110,55,55,55.0,1,1,55,55,55.0,13,13,13.0,No
1,64,152,76,76,76.0,1,1,76,76,76.0,16,16,16.0,No
1,43,28,7,2,1.4,5,5,0,0,0.0,180,80,36.0,No
1,62,148,74,74,74.0,1,1,74,74,74.0,16,16,16.0,No
1,25,140,70,35,35.0,2,2,70,35,35.0,24,12,12.0,No
1,41,82,22,16,5.5,4,2,3,3,0.75,807,289,201.75,No
1,47,308,77,73,25.666666666666668,3,1,0,73,0.0,110,63,36.666666666666664,No
1,104,250,123,121,41.0,3,1,121,121,40.333333333333336,73,34,24.333333333333332,No
1,40,336,78,20,8.666666666666666,9,6,-12,0,-1.3333333333333333,312,104,34.666666666666664,No
1,138,364,91,44,30.333333333333332,3,2,0,0,0.0,69,55,23.0,No
1,153,1218,401,193,100.25,4,2,193,193,48.25,66,53,16.5,No
1,62,148,0,0,0.0,3,2,-74,0,-24.666666666666668,319,140,106.33333333333333,No
1,37,196,98,49,49.0,2,2,98,49,49.0,24,12,12.0,No
1,63,960,305,58,7.82051282051282,39,6,130,58,3.3333333333333335,774,80,19.846153846153847,No
1,26,68,34,34,17.0,2,2,34,34,17.0,25,20,12.5,No
1,6,18,9,9,9.0,1,1,9,9,9.0,16,16,16.0,No
1,190,1854,630,132,57.27272727272727,11,6,333,132,30.272727272727273,254,104,23.09090909090909,No
1,239,168,45,23,11.25,4,2,6,3,1.5,848,289,212.0,No
1,72,274,104,54,11.555555555555555,9,3,71,39,7.888888888888889,320,95,35.55555555555556,No
1,65,324,81,81,40.5,2,1,0,81,0.0,85,63,42.5,No
1,19,80,20,20,10.0,2,1,0,20,0.0,158,95,79.0,No
1,30,78,39,39,39.0,1,1,39,39,39.0,5,5,5.0,No
1,45,0,0,0,0.0,1,1,0,0,0.0,16,16,16.0,No
1,70,216,101,95,20.2,5,2,94,95,18.8,121,35,24.2,No
1,40,200,50,50,25.0,2,1,0,50,0.0,85,63,42.5,No
1,124,82,22,9,4.4,5,2,3,4,0.6,853,289,170.6,No
1,31,92,25,14,6.25,4,2,4,3,1.0,805,289,201.25,No
1,23,202,96,30,13.714285714285714,7,4,91,30,13.0,124,24,17.714285714285715,No
1,131,244,69,42,17.25,4,2,16,12,4.0,798,289,199.5,Yes
1,125,14,5,3,1.6666666666666667,3,2,3,3,1.0,559,289,186.33333333333334,No
1,24,32,10,4,2.5,4,2,4,4,1.0,805,289,201.25,No
1,66,432,0,0,0.0,3,3,-216,0,-72.0,61,28,20.333333333333332,No
1,67,340,0,0,0.0,5,3,-170,0,-34.0,60,22,12.0,No
1,104,242,0,0,0.0,3,2,-121,0,-40.333333333333336,319,140,106.33333333333333,No
1,341,3926,1358,232,32.333333333333336,42,6,753,230,17.928571428571427,1182,140,28.142857142857142,No
1,284,1260,315,315,157.5,2,1,0,315,0.0,118,66,59.0,No
1,62,156,76,74,25.333333333333332,3,1,74,74,24.666666666666668,73,34,24.333333333333332,No
1,130,638,160,114,32.0,5,2,1,3,0.2,850,289,170.0,No
1,113,620,149,109,37.25,4,2,-12,0,-3.0,848,289,212.0,No
1,51,272,129,58,25.8,5,2,122,58,24.4,83,29,16.6,No
1,164,216,57,25,11.4,5,2,6,3,1.2,893,289,178.6,No
1,92,0,0,0,0.0,1,1,0,0,0.0,16,16,16.0,No
1,128,292,0,0,0.0,3,2,-146,0,-48.666666666666664,319,140,106.33333333333333,No
1,74,188,91,66,22.75,4,2,88,66,22.0,268,239,67.0,No
1,78,368,92,92,46.0,2,1,0,92,0.0,118,66,59.0,No
1,123,408,102,83,25.5,4,2,0,1,0.0,788,289,197.0,No
1,71,176,85,70,21.25,4,1,82,70,20.5,75,35,18.75,No
1,61,600,34,14,4.25,8,4,-232,13,-29.0,231,57,28.875,No
1,376,860,10,6,1.6666666666666667,6,4,-410,5,-68.33333333333333,483,140,80.5,No
1,275,1880,642,279,32.1,20,6,344,279,17.2,418,104,20.9,No
1,129,4,1,1,1.0,1,1,0,0,0.0,32,32,32.0,No
1,23,62,31,18,10.333333333333334,3,1,31,18,10.333333333333334,568,289,189.33333333333334,No
1,44,228,83,68,27.666666666666668,3,1,52,68,17.333333333333332,118,63,39.333333333333336,No
1,62,4,1,1,1.0,1,1,0,0,0.0,55,55,55.0,No
1,159,506,134,114,19.142857142857142,7,2,15,13,2.142857142857143,852,289,121.71428571428571,No
1,43,136,68,32,22.666666666666668,3,2,68,32,22.666666666666668,47,20,15.666666666666666,No
1,98,4,1,1,1.0,1,1,0,0,0.0,24,24,24.0,No
1,62,40,10,10,10.0,1,1,0,0,0.0,35,35,35.0,No
1,45,638,172,89,24.571428571428573,7,4,25,89,3.5714285714285716,189,95,27.0,No
1,62,4,1,1,1.0,1,1,0,0,0.0,55,55,55.0,No
1,52,728,220,80,22.0,10,3,76,80,7.6,236,80,23.6,No
1,53,260,65,65,32.5,2,1,0,65,0.0,118,66,59.0,No
1,142,86,26,26,26.0,1,1,9,9,9.0,80,80,80.0,No
1,45,222,93,31,8.454545454545455,11,5,75,31,6.818181818181818,64,22,5.818181818181818,No
1,558,3246,814,638,116.28571428571429,7,2,5,9,0.7142857142857143,852,289,121.71428571428571,Yes
1,174,824,412,206,206.0,2,2,412,206,206.0,16,8,8.0,No
1,62,178,89,53,29.666666666666668,3,2,89,53,29.666666666666668,75,35,25.0,No
1,79,186,0,0,0.0,3,2,-93,0,-31.0,319,140,106.33333333333333,No
1,424,7366,2748,575,74.27027027027027,37,6,1813,575,49.0,566,80,15.297297297297296,No
1,246,1256,309,123,14.714285714285714,21,4,-10,24,-0.47619047619047616,547,140,26.047619047619047,No
